Description,Qty,Price,UPC,Device,Manufacturer,,,,
Galaxy S4 Back Camera,1,25,844932067898,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Battery,2,25,844932068192,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Charge Port (AT&T),1,25,844932067928,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Charge Port (Sprint),1,25,844932067928,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Charge Port (T-Mobile),1,25,844932067928,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Charge Port (Verizon),1,25,844932067928,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Front Camera ,1,25,844932067898,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Home Button + Flex - Black (CDMA),1,25,844932067850,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Home Button + Flex - Black (GSM),1,25,844932067850,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Home Button + Flex - White (CDMA),1,25,844932067850,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 Home Button + Flex - White (GSM),1,25,844932067850,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 LCD/Digitizer w/Adhesive - Black,2,145,844932067980,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S4 LCD/Digitizer w/Adhesive - White,2,145,844932067980,Samsung Galaxy S4,SamsungSC,,,,
Galaxy S5 Back Camera,1,25,844932067690,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Battery,2,25,844932068208,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Front Camera,1,25,844932067690,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Home Button Key + Flex - Black,1,25,844932067768,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Home Button Key + Flex - White,1,25,844932067768,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 LCD/Digitizer w/Adhesive - Black,2,195,844932068130,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 LCD/Digitizer w/Adhesive - White,2,195,844932068130,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Charge Port (AT&T),1,25,844932068017,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Charge Port (Sprint),1,25,844932068017,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Charge Port (T-Mobile),1,25,844932068017,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S5 Charge Port (Verizon),1,25,844932068017,Samsung Galaxy S5,SamsungSC,,,,
Galaxy S6 Back Cover - Black,2,25,844932067942,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 Back Cover - Gold,2,25,844932067942,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 Back Cover - White,2,25,844932067942,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 Battery,1,25,844932068222,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 LCD/Digitizer w/Adhesive - Black,2,229,844932067775,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 LCD/Digitizer w/Adhesive - Gold,2,229,844932067775,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 LCD/Digitizer w/Adhesive - White,2,229,844932067775,Samsung Galaxy S6,SamsungSC,,,,
Galaxy S6 Edge Back Cover - Black,1,25,844932067867,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge Back Cover - Gold,1,25,844932067867,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge Back Cover - White,1,25,844932067867,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge Battery,1,25,844932068239,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge LCD/Digitizer - Black,2,279,844932068093,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge LCD/Digitizer - Gold,2,279,844932068093,Samsung Galaxy S6 Edge,SamsungSC,,,,
Galaxy S6 Edge LCD/Digitizer - White,2,279,844932068093,Samsung Galaxy S6 Edge,SamsungSC,,,,
iPhone 5 Back Camera,1,25,844932067812,Apple iPhone 5,AppleSC,,,,
iPhone 5 Battery,3,25,844932068253,Apple iPhone 5,AppleSC,,,,
iPhone 5 Charge Port - Black,2,25,844932067836,Apple iPhone 5,AppleSC,,,,
iPhone 5 Charge Port - White,2,25,844932067836,Apple iPhone 5,AppleSC,,,,
iPhone 5 Front Camera,1,25,844932067812,Apple iPhone 5,AppleSC,,,,
iPhone 5 Home Button Key + Flex - Black,1,25,844932067751,Apple iPhone 5,AppleSC,,,,
iPhone 5 Home Button Key + Flex - White,1,25,844932067751,Apple iPhone 5,AppleSC,,,,
iPhone 5 LCD/Digitizer - Black,15,99,844932067997,Apple iPhone 5,AppleSC,,,,
iPhone 5 LCD/Digitizer - White,10,99,844932067997,Apple iPhone 5,AppleSC,,,,
iPhone 5 Loudspeaker,1,25,844932067751,Apple iPhone 5,AppleSC,,,,
iPhone 5C Back Camera,1,25,844932067904,Apple iPhone 5C,AppleSC,,,,
iPhone 5C Charge Port/Headphone Jack,2,25,844932067843,Apple iPhone 5C,AppleSC,,,,
iPhone 5C Front Camera,1,25,844932067904,Apple iPhone 5C,AppleSC,,,,
iPhone 5C Home Button Key + Flex - Black,1,25,844932068062,Apple iPhone 5C,AppleSC,,,,
iPhone 5C LCD/Digitizer - Black,20,99,844932068147,Apple iPhone 5C,AppleSC,,,,
iPhone 5C Loudspeaker,1,25,844932068062,Apple iPhone 5C,AppleSC,,,,
iPhone 5C Battery,2,25,844932068215,Apple iPhone 5C,AppleSC,,,,
iPhone 5S Battery,2,25,844932068215,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Back Camera,1,25,844932067829,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Charge Port/Headphone Jack - Black,2,25,844932067737,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Charge Port/Headphone Jack - White,2,25,844932067737,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Front Camera,1,25,844932067829,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Home Button Key + Flex - Black,1,25,844932067959,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Home Button Key + Flex - White,1,25,844932067959,Apple iPhone 5S,AppleSC,,,,
iPhone 5S LCD/Digitizer - Black,15,99,844932068000,Apple iPhone 5S,AppleSC,,,,
iPhone 5S LCD/Digitizer - White,10,99,844932068000,Apple iPhone 5S,AppleSC,,,,
iPhone 5S Loudspeaker,1,25,844932067959,Apple iPhone 5S,AppleSC,,,,
iPhone 6 Back Camera,1,25,844932067911,Apple iPhone 6,AppleSC,,,,
iPhone 6 Battery,2,25,844932068246,Apple iPhone 6,AppleSC,,,,
iPhone 6 Charge Port/Headphone Jack - Black,2,25,844932067744,Apple iPhone 6,AppleSC,,,,
iPhone 6 Charge Port/Headphone Jack - White,2,25,844932067744,Apple iPhone 6,AppleSC,,,,
iPhone 6 Front Camera,1,25,844932067911,Apple iPhone 6,AppleSC,,,,
iPhone 6 Home Button + Flex - Black,1,25,844932067874,Apple iPhone 6,AppleSC,,,,
iPhone 6 Home Button + Flex - Gold,1,25,844932067874,Apple iPhone 6,AppleSC,,,,
iPhone 6 Home Button + Flex - Silver,1,25,844932067874,Apple iPhone 6,AppleSC,,,,
iPhone 6 LCD/Digitizer - Black,10,145,844932068031,Apple iPhone 6,AppleSC,,,,
iPhone 6 LCD/Digitizer - White,5,145,844932068031,Apple iPhone 6,AppleSC,,,,
iPhone 6 Loudspeaker,1,25,844932067874,Apple iPhone 6,AppleSC,,,,
iPhone 6 Plus Back Camera,1,25,844932067706,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Battery,2,25,844932068277,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Charge Port/Headphone Jack - Black,2,25,844932067935,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Charge Port/Headphone Jack - White,2,25,844932067935,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Front Camera,1,25,844932067706,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Home Button w/Flex - Black,1,25,844932068079,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Home Button w/Flex - Gold,1,25,844932068079,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus Home Button w/Flex - Silver,1,25,844932068079,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus LCD/Digitizer - Black,3,195,844932068154,Apple iPhone 6 Plus,AppleSC,,,,
iPhone 6 Plus LCD/Digitizer - White,3,195,844932068154,Apple iPhone 6 Plus,AppleSC,,,,
iPad 2 Digitizer with Flex Cable and Adhesive  - Black,8,99,844932068161,Apple iPad 2,AppleSC,,,,
iPad 2 Digitizer with Flex Cable and Adhesive  - White,8,99,844932068161,Apple iPad 2,AppleSC,,,,
iPad 2 Power/Volume Flex (Gen 1),2,25,844932068086,Apple iPad 2,AppleSC,,,,
